"state_code","school_code","people","year"
41,3,54086,2011
41,4,48046,2011
41,5,49148,2011
41,6,53638,2011
41,7,57873,2011
41,8,56469,2011
41,9,74638,2011
41,10,55697,2011
41,11,77152,2011
41,12,77898,2011
41,13,105191,2011
41,14,112058,2011
41,15,55969,2011
41,16,638367,2011
41,17,139295,2011
41,18,267567,2011
41,19,602881,2011
41,20,226883,2011
41,21,511266,2011
41,22,200878,2011
41,23,53503,2011
41,24,35657,2011
41,NA,138388,2011
42,1,385373,2011
42,2,178629,2011
42,3,148138,2011
42,4,155088,2011
42,5,156987,2011
42,6,158032,2011
42,7,163415,2011
42,8,170314,2011
42,9,191569,2011
42,10,194645,2011
42,11,312528,2011
42,12,293395,2011
42,13,388806,2011
42,14,421164,2011
42,15,155589,2011
42,16,3280863,2011
42,17,372099,2011
42,18,617448,2011
42,19,1360318,2011
42,20,711391,2011
42,21,1570058,2011
42,22,671292,2011
42,23,158172,2011
42,24,106000,2011
42,NA,421573,2011
44,1,36595,2011
44,2,11928,2011
44,3,12987,2011
44,4,14888,2011
44,5,11788,2011
44,6,15036,2011
44,7,16578,2011
44,8,12631,2011
44,9,18226,2011
44,10,19502,2011
44,11,26736,2011
44,12,28980,2011
44,13,34972,2011
44,14,34982,2011
44,15,12649,2011
44,16,189043,2011
44,17,34335,2011
44,18,46572,2011
44,19,140487,2011
44,20,63801,2011
44,21,147981,2011
44,22,65573,2011
44,23,14727,2011
44,24,7358,2011
44,NA,32947,2011
45,1,173067,2011
45,2,68471,2011
45,3,68892,2011
45,4,64969,2011
45,5,64503,2011
45,6,64287,2011
45,7,66805,2011
45,8,76701,2011
45,9,94570,2011
45,10,83568,2011
45,11,111760,2011
45,12,133927,2011
45,13,169157,2011
45,14,176088,2011
45,15,67125,2011
45,16,964727,2011
45,17,148477,2011
45,18,233565,2011
45,19,617133,2011
45,20,287138,2011
45,21,520142,2011
45,22,183804,2011
45,23,42981,2011
45,24,27599,2011
45,NA,169774,2011
46,1,29794,2011
46,2,13128,2011
46,3,13895,2011
46,4,11277,2011
46,5,11972,2011
46,6,11870,2011
46,7,11070,2011
46,8,11216,2011
46,9,12398,2011
46,10,12934,2011
46,11,27158,2011
46,12,15638,2011
46,13,23275,2011
46,14,21182,2011
46,15,8596,2011
46,16,160865,2011
46,17,31791,2011
46,18,45033,2011
46,19,118239,2011
46,20,57359,2011
46,21,100248,2011
46,22,30562,2011
46,23,5157,2011
46,24,6592,2011
46,NA,32833,2011
47,1,241042,2011
47,2,78328,2011
47,3,89249,2011
47,4,83758,2011
47,5,87639,2011
47,6,96066,2011
47,7,102075,2011
47,8,98756,2011
47,9,132106,2011
47,10,113067,2011
47,11,185309,2011
47,12,172648,2011
47,13,207343,2011
47,14,241542,2011
47,15,89798,2011
47,16,1381188,2011
47,17,290603,2011
47,18,322708,2011
47,19,820152,2011
47,20,278592,2011
47,21,702083,2011
47,22,245494,2011
47,23,67837,2011
47,24,48883,2011
47,NA,227087,2011
48,1,1166445,2011
48,2,443517,2011
48,3,441395,2011
48,4,412695,2011
48,5,472798,2011
48,6,502702,2011
48,7,484273,2011
48,8,505269,2011
48,9,846596,2011
48,10,527619,2011
48,11,656956,2011
48,12,923384,2011
48,13,780363,2011
48,14,862127,2011
48,15,322812,2011
48,16,4103701,2011
48,17,803396,2011
48,18,1252409,2011
48,19,3435247,2011
48,20,1160333,2011
48,21,3025617,2011
48,22,1012231,2011
48,23,243622,2011
48,24,163169,2011
48,NA,1126005,2011
49,1,118997,2011
49,2,56254,2011
49,3,50557,2011
49,4,52626,2011
49,5,51784,2011
49,6,52183,2011
49,7,50602,2011
49,8,53370,2011
49,9,60951,2011
49,10,53193,2011
49,11,55195,2011
49,12,56239,2011
49,13,67002,2011
49,14,95078,2011
49,15,35732,2011
49,16,427801,2011
49,17,54190,2011
49,18,170888,2011
49,19,423157,2011
49,20,177354,2011
49,21,342639,2011
49,22,108393,2011
49,23,25912,2011
49,24,21051,2011
49,NA,156074,2011
50,1,14375,2011
50,2,9905,2011
50,3,5541,2011
50,4,5331,2011
50,5,8352,2011
50,6,7446,2011
50,7,6575,2011
50,8,6769,2011
50,9,8973,2011
50,10,9569,2011
50,11,14668,2011
50,12,13293,2011
50,13,15143,2011
50,14,13807,2011
50,15,8479,2011
50,16,131520,2011
