"","state_code","school_code","people","year","acs_state_name"
"304",16,4,23895,2008,"iowa"
"305",16,5,20436,2008,"iowa"
"306",16,6,24015,2008,"iowa"
"307",16,7,22686,2008,"iowa"
"308",16,8,24021,2008,"iowa"
"309",16,9,34104,2008,"iowa"
"310",16,10,26014,2008,"iowa"
"311",16,11,35449,2008,"iowa"
"312",16,12,37312,2008,"iowa"
"313",16,13,42510,2008,"iowa"
"314",16,14,47572,2008,"iowa"
"315",16,15,18584,2008,"iowa"
"316",16,16,269079,2008,"iowa"
"317",16,17,50906,2008,"iowa"
"318",16,18,97309,2008,"iowa"
"319",16,19,227271,2008,"iowa"
"320",16,20,90640,2008,"iowa"
"321",16,21,169837,2008,"iowa"
"322",16,22,47033,2008,"iowa"
"323",16,23,15065,2008,"iowa"
"324",16,24,9215,2008,"iowa"
"325",16,NA,78304,2008,"iowa"
"326",17,1,436849,2008,"kansas"
"327",17,2,226902,2008,"kansas"
"328",17,3,176662,2008,"kansas"
"329",17,4,180771,2008,"kansas"
"330",17,5,190805,2008,"kansas"
"331",17,6,188917,2008,"kansas"
"332",17,7,197144,2008,"kansas"
"333",17,8,204130,2008,"kansas"
"334",17,9,320331,2008,"kansas"
"335",17,10,212019,2008,"kansas"
"336",17,11,386007,2008,"kansas"
"337",17,12,324391,2008,"kansas"
"338",17,13,378263,2008,"kansas"
"339",17,14,406265,2008,"kansas"
"340",17,15,200603,2008,"kansas"
"341",17,16,2365146,2008,"kansas"
"342",17,17,340026,2008,"kansas"
"343",17,18,697461,2008,"kansas"
"344",17,19,1611634,2008,"kansas"
"345",17,20,673899,2008,"kansas"
"346",17,21,1707627,2008,"kansas"
"347",17,22,682882,2008,"kansas"
"348",17,23,171715,2008,"kansas"
"349",17,24,92248,2008,"kansas"
"350",17,NA,528867,2008,"kansas"
"351",18,1,232958,2008,"kentucky"
"352",18,2,98893,2008,"kentucky"
"353",18,3,93145,2008,"kentucky"
"354",18,4,90208,2008,"kentucky"
"355",18,5,89258,2008,"kentucky"
"356",18,6,91023,2008,"kentucky"
"357",18,7,95025,2008,"kentucky"
"358",18,8,97391,2008,"kentucky"
"359",18,9,116951,2008,"kentucky"
"360",18,10,108929,2008,"kentucky"
"361",18,11,185321,2008,"kentucky"
"362",18,12,173477,2008,"kentucky"
"363",18,13,232633,2008,"kentucky"
"364",18,14,218225,2008,"kentucky"
"365",18,15,94121,2008,"kentucky"
"366",18,16,1418261,2008,"kentucky"
"367",18,17,230120,2008,"kentucky"
"368",18,18,340687,2008,"kentucky"
"369",18,19,757730,2008,"kentucky"
"370",18,20,335382,2008,"kentucky"
"371",18,21,671766,2008,"kentucky"
"372",18,22,245002,2008,"kentucky"
"373",18,23,58450,2008,"kentucky"
"374",18,24,38752,2008,"kentucky"
"375",18,NA,263084,2008,"kentucky"
"376",19,1,92898,2008,"louisiana"
"377",19,2,43820,2008,"louisiana"
"378",19,3,42850,2008,"louisiana"
"379",19,4,36827,2008,"louisiana"
"380",19,5,40866,2008,"louisiana"
"381",19,6,41184,2008,"louisiana"
"382",19,7,38779,2008,"louisiana"
"383",19,8,43180,2008,"louisiana"
"384",19,9,42718,2008,"louisiana"
"385",19,10,38007,2008,"louisiana"
"386",19,11,88837,2008,"louisiana"
"387",19,12,63683,2008,"louisiana"
"388",19,13,77733,2008,"louisiana"
"389",19,14,90466,2008,"louisiana"
"390",19,15,28710,2008,"louisiana"
"391",19,16,658557,2008,"louisiana"
"392",19,17,93434,2008,"louisiana"
"393",19,18,209042,2008,"louisiana"
"394",19,19,380724,2008,"louisiana"
"395",19,20,216019,2008,"louisiana"
"396",19,21,365496,2008,"louisiana"
"397",19,22,99577,2008,"louisiana"
"398",19,23,30316,2008,"louisiana"
"399",19,24,18237,2008,"louisiana"
"400",19,NA,120597,2008,"louisiana"
"401",20,1,92366,2008,"maine"
"402",20,2,47075,2008,"maine"
"403",20,3,40803,2008,"maine"
"404",20,4,35920,2008,"maine"
"405",20,5,41341,2008,"maine"
"406",20,6,42671,2008,"maine"
"407",20,7,40880,2008,"maine"
"408",20,8,41191,2008,"maine"
"409",20,9,59116,2008,"maine"
"410",20,10,41626,2008,"maine"
"411",20,11,71489,2008,"maine"
"412",20,12,66277,2008,"maine"
"413",20,13,70632,2008,"maine"
"414",20,14,83164,2008,"maine"
"415",20,15,30535,2008,"maine"
"416",20,16,502520,2008,"maine"
"417",20,17,83708,2008,"maine"
"418",20,18,183404,2008,"maine"
"419",20,19,385176,2008,"maine"
"420",20,20,156525,2008,"maine"
"421",20,21,388682,2008,"maine"
"422",20,22,128158,2008,"maine"
"423",20,23,33776,2008,"maine"
"424",20,24,16324,2008,"maine"
"425",20,NA,118775,2008,"maine"
"426",21,1,143505,2008,"maryland"
"427",21,2,65665,2008,"maryland"
"428",21,3,55407,2008,"maryland"
"429",21,4,52093,2008,"maryland"
"430",21,5,60819,2008,"maryland"
"431",21,6,62877,2008,"maryland"
"432",21,7,69297,2008,"maryland"
"433",21,8,65071,2008,"maryland"
"434",21,9,81676,2008,"maryland"
"435",21,10,81823,2008,"maryland"
"436",21,11,178289,2008,"maryland"
"437",21,12,152269,2008,"maryland"
"438",21,13,154143,2008,"maryland"
"439",21,14,161643,2008,"maryland"
"440",21,15,50678,2008,"maryland"
"441",21,16,921064,2008,"maryland"
"442",21,17,218641,2008,"maryland"
"443",21,18,243147,2008,"maryland"
"444",21,19,489075,2008,"maryland"
"445",21,20,207779,2008,"maryland"
"446",21,21,360400,2008,"maryland"
"447",21,22,157365,2008,"maryland"
"448",21,23,47233,2008,"maryland"
"449",21,24,19185,2008,"maryland"
"450",21,NA,170101,2008,"maryland"
"451",22,1,154785,2008,"massachusetts"
"452",22,2,80018,2008,"massachusetts"
"453",22,3,65329,2008,"massachusetts"
"454",22,4,66545,2008,"massachusetts"
"455",22,5,71438,2008,"massachusetts"
"456",22,6,68140,2008,"massachusetts"
"457",22,7,66309,2008,"massachusetts"
"458",22,8,75091,2008,"massachusetts"
"459",22,9,89297,2008,"massachusetts"
"460",22,10,99318,2008,"massachusetts"
"461",22,11,140491,2008,"massachusetts"
"462",22,12,144536,2008,"massachusetts"
"463",22,13,180762,2008,"massachusetts"
"464",22,14,183997,2008,"massachusetts"
"465",22,15,63366,2008,"massachusetts"
"466",22,16,972421,2008,"massachusetts"
"467",22,17,178551,2008,"massachusetts"
"468",22,18,199338,2008,"massachusetts"
"469",22,19,566560,2008,"massachusetts"
"470",22,20,153026,2008,"massachusetts"
"471",22,21,426037,2008,"massachusetts"
"472",22,22,121277,2008,"massachusetts"
"473",22,23,40507,2008,"massachusetts"
"474",22,24,20895,2008,"massachusetts"
"475",22,NA,182762,2008,"massachusetts"
"476",23,1,34637,2008,"michigan"
"477",23,2,16056,2008,"michigan"
"478",23,3,14943,2008,"michigan"
"479",23,4,15991,2008,"michigan"
"480",23,5,14891,2008,"michigan"
"481",23,6,14547,2008,"michigan"
"482",23,7,16746,2008,"michigan"
"483",23,8,15003,2008,"michigan"
"484",23,9,17950,2008,"michigan"
"485",23,10,21600,2008,"michigan"
"486",23,11,39911,2008,"michigan"
"487",23,12,31597,2008,"michigan"
"488",23,13,37772,2008,"michigan"
"489",23,14,35264,2008,"michigan"
"490",23,15,12197,2008,"michigan"
"491",23,16,322308,2008,"michigan"
"492",23,17,48548,2008,"michigan"
"493",23,18,72527,2008,"michigan"
"494",23,19,164357,2008,"michigan"
"495",23,20,90480,2008,"michigan"
"496",23,21,153000,2008,"michigan"
"497",23,22,60108,2008,"michigan"
"498",23,23,11734,2008,"michigan"
"499",23,24,9726,2008,"michigan"
"500",23,NA,44563,2008,"michigan"
"501",24,1,170681,2008,"minnesota"
"502",24,2,96363,2008,"minnesota"
"503",24,3,72460,2008,"minnesota"
"504",24,4,68487,2008,"minnesota"
"505",24,5,71941,2008,"minnesota"
"506",24,6,77797,2008,"minnesota"
"507",24,7,72259,2008,"minnesota"
"508",24,8,85926,2008,"minnesota"
"509",24,9,116450,2008,"minnesota"
"510",24,10,100223,2008,"minnesota"
"511",24,11,131177,2008,"minnesota"
"512",24,12,141656,2008,"minnesota"
"513",24,13,172204,2008,"minnesota"
"514",24,14,183071,2008,"minnesota"
"515",24,15,68617,2008,"minnesota"
"516",24,16,1021293,2008,"minnesota"
"517",24,17,142462,2008,"minnesota"
"518",24,18,285002,2008,"minnesota"
"519",24,19,683677,2008,"minnesota"
"520",24,20,252307,2008,"minnesota"
"521",24,21,815541,2008,"minnesota"
"522",24,22,386363,2008,"minnesota"
"523",24,23,115717,2008,"minnesota"
"524",24,24,81972,2008,"minnesota"
"525",24,NA,219951,2008,"minnesota"
"526",25,1,201971,2008,"mississippi"
"527",25,2,112668,2008,"mississippi"
"528",25,3,78687,2008,"mississippi"
"529",25,4,81142,2008,"mississippi"
"530",25,5,80843,2008,"mississippi"
"531",25,6,99073,2008,"mississippi"
"532",25,7,96319,2008,"mississippi"
"533",25,8,98896,2008,"mississippi"
"534",25,9,106050,2008,"mississippi"
"535",25,10,100188,2008,"mississippi"
"536",25,11,146389,2008,"mississippi"
"537",25,12,150090,2008,"mississippi"
"538",25,13,170262,2008,"mississippi"
"539",25,14,167564,2008,"mississippi"
"540",25,15,83227,2008,"mississippi"
"541",25,16,1213852,2008,"mississippi"
"542",25,17,146253,2008,"mississippi"
"543",25,18,288729,2008,"mississippi"
"544",25,19,707751,2008,"mississippi"
"545",25,20,354870,2008,"mississippi"
"546",25,21,1064721,2008,"mississippi"
"547",25,22,498778,2008,"mississippi"
"548",25,23,125706,2008,"mississippi"
"549",25,24,93755,2008,"mississippi"
"550",25,NA,230183,2008,"mississippi"
"551",26,1,317422,2008,"missouri"
"552",26,2,145424,2008,"missouri"
"553",26,3,129154,2008,"missouri"
"554",26,4,129962,2008,"missouri"
"555",26,5,130932,2008,"missouri"
"556",26,6,138919,2008,"missouri"
"557",26,7,141817,2008,"missouri"
"558",26,8,152111,2008,"missouri"
"559",26,9,167407,2008,"missouri"
"560",26,10,151613,2008,"missouri"
"561",26,11,249972,2008,"missouri"
"562",26,12,248739,2008,"missouri"
"563",26,13,347647,2008,"missouri"
"564",26,14,369050,2008,"missouri"
"565",26,15,121598,2008,"missouri"
"566",26,16,2054917,2008,"missouri"
"567",26,17,299595,2008,"missouri"
"568",26,18,654546,2008,"missouri"
"569",26,19,1366801,2008,"missouri"
"570",26,20,584607,2008,"missouri"
"571",26,21,1094734,2008,"missouri"
"572",26,22,456507,2008,"missouri"
"573",26,23,112622,2008,"missouri"
"574",26,24,61074,2008,"missouri"
"575",26,NA,376252,2008,"missouri"
"576",27,1,171391,2008,"montana"
"577",27,2,88963,2008,"montana"
"578",27,3,66986,2008,"montana"
"579",27,4,67293,2008,"montana"
"580",27,5,72282,2008,"montana"
"581",27,6,68456,2008,"montana"
"582",27,7,75665,2008,"montana"
"583",27,8,66500,2008,"montana"
"584",27,9,86812,2008,"montana"
"585",27,10,73799,2008,"montana"
"586",27,11,135602,2008,"montana"
"587",27,12,102366,2008,"montana"
"588",27,13,120552,2008,"montana"
"589",27,14,144271,2008,"montana"
"590",27,15,56782,2008,"montana"
"591",27,16,972462,2008,"montana"
"592",27,17,120819,2008,"montana"
"593",27,18,304042,2008,"montana"
"594",27,19,698313,2008,"montana"
"595",27,20,364163,2008,"montana"
"596",27,21,795840,2008,"montana"
"597",27,22,242348,2008,"montana"
"598",27,23,73129,2008,"montana"
"599",27,24,41289,2008,"montana"
"600",27,NA,210268,2008,"montana"
"601",28,1,107497,2008,"nebraska"
"602",28,2,51511,2008,"nebraska"
"603",28,3,45164,2008,"nebraska"
"604",28,4,44276,2008,"nebraska"
"605",28,5,44557,2008,"nebraska"
"606",28,6,48732,2008,"nebraska"
"607",28,7,46405,2008,"nebraska"
"608",28,8,52984,2008,"nebraska"
"609",28,9,63500,2008,"nebraska"
"610",28,10,64260,2008,"nebraska"
"611",28,11,94705,2008,"nebraska"
"612",28,12,95547,2008,"nebraska"
"613",28,13,129352,2008,"nebraska"
"614",28,14,131236,2008,"nebraska"
"615",28,15,43313,2008,"nebraska"
"616",28,16,531792,2008,"nebraska"
"617",28,17,126226,2008,"nebraska"
"618",28,18,139470,2008,"nebraska"
"619",28,19,403320,2008,"nebraska"
"620",28,20,168124,2008,"nebraska"
"621",28,21,250183,2008,"nebraska"
"622",28,22,90878,2008,"nebraska"
"623",28,23,25316,2008,"nebraska"
"624",28,24,13658,2008,"nebraska"
"625",28,NA,126612,2008,"nebraska"
"626",29,1,200900,2008,"nevada"
