"","state_code","year","school_code","people","acs_state_name","totalpop","prop"
"156",10,2008,6,10923,"florida",873092,1.25107090661694
"157",10,2008,7,10333,"florida",873092,1.18349498105583
"158",10,2008,8,11568,"florida",873092,1.32494628286595
"159",10,2008,9,17745,"florida",873092,2.03243186285065
"160",10,2008,10,15696,"florida",873092,1.79774869085961
"161",10,2008,11,20239,"florida",873092,2.31808331768015
"162",10,2008,12,23886,"florida",873092,2.73579416602145
"163",10,2008,13,29581,"florida",873092,3.38807365088673
"164",10,2008,14,31421,"florida",873092,3.59881891026375
"165",10,2008,15,11205,"florida",873092,1.28336990832581
"166",10,2008,16,188449,"florida",873092,21.5840942306195
"167",10,2008,17,20637,"florida",873092,2.36366843356714
"168",10,2008,18,48459,"florida",873092,5.55027419790812
"169",10,2008,19,112022,"florida",873092,12.8304920901806
"170",10,2008,20,43474,"florida",873092,4.97931489465028
"171",10,2008,21,98080,"florida",873092,11.2336386085315
"172",10,2008,22,45713,"florida",873092,5.23575980538133
"173",10,2008,23,11147,"florida",873092,1.27672685123675
"174",10,2008,24,6594,"florida",873092,0.755246869745685
"175",10,2008,NA,35822,"florida",873092,4.10288950076281
"176",10,2009,1,28725,"florida",885122,3.24531533506116
"177",10,2009,2,12277,"florida",885122,1.38704043058471
"178",10,2009,3,12713,"florida",885122,1.43629917683664
"179",10,2009,4,9559,"florida",885122,1.0799641179408
"180",10,2009,5,12657,"florida",885122,1.42997236539144
"181",10,2009,6,14823,"florida",885122,1.67468439378978
"182",10,2009,7,11582,"florida",885122,1.30852018139872
"183",10,2009,8,10536,"florida",885122,1.19034438190442
"184",10,2009,9,14175,"florida",885122,1.60147414706673
"185",10,2009,10,16818,"florida",885122,1.9000770515251
"186",10,2009,11,19246,"florida",885122,2.17438951918493
"187",10,2009,12,25877,"florida",885122,2.92355178156232
"188",10,2009,13,26060,"florida",885122,2.94422689753503
"189",10,2009,14,28673,"florida",885122,3.23944043871918
"190",10,2009,15,11151,"florida",885122,1.25982632902583
"191",10,2009,16,193285,"florida",885122,21.8371026818902
"192",10,2009,17,24820,"florida",885122,2.80413321553413
"193",10,2009,18,48418,"florida",885122,5.47020636703189
"194",10,2009,19,103873,"florida",885122,11.7354443794189
"195",10,2009,20,46529,"florida",885122,5.25678945953213
"196",10,2009,21,111267,"florida",885122,12.5708094477371
"197",10,2009,22,45546,"florida",885122,5.14573132291368
"198",10,2009,23,11102,"florida",885122,1.25429036901128
"199",10,2009,24,9115,"florida",885122,1.02980154148242
"200",10,2009,NA,36295,"florida",885122,4.10056466792148
"201",10,2010,1,29660,"florida",899769,3.29640163197443
"202",10,2010,2,13837,"florida",899769,1.53783915649461
"203",10,2010,3,10125,"florida",899769,1.12528882413153
"204",10,2010,4,12473,"florida",899769,1.38624469169309
"205",10,2010,5,9663,"florida",899769,1.07394231186004
"206",10,2010,6,14448,"florida",899769,1.60574547467183
"207",10,2010,7,15276,"florida",899769,1.69776909406748
"208",10,2010,8,14011,"florida",899769,1.55717745332413
"209",10,2010,9,16355,"florida",899769,1.81768876233789
"210",10,2010,10,9848,"florida",899769,1.09450314469603
"211",10,2010,11,21814,"florida",899769,2.42440004045483
"212",10,2010,12,31299,"florida",899769,3.47855949693755
"213",10,2010,13,28285,"florida",899769,3.14358463116644
"214",10,2010,14,31672,"florida",899769,3.52001458152037
"215",10,2010,15,9551,"florida",899769,1.0614946725215
"216",10,2010,16,195417,"florida",899769,21.7185744341048
"217",10,2010,17,24317,"florida",899769,2.70258255174384
"218",10,2010,18,48965,"florida",899769,5.44195232331854
"219",10,2010,19,110124,"florida",899769,12.2391413796208
"220",10,2010,20,47012,"florida",899769,5.22489661235273
"221",10,2010,21,105301,"florida",899769,11.7031149106048
"222",10,2010,22,47698,"florida",899769,5.30113840330129
"223",10,2010,23,12506,"florida",899769,1.38991229971248
"224",10,2010,24,8589,"florida",899769,0.954578341774389
"225",10,2010,NA,31523,"florida",899769,3.50345477561463
"226",10,2011,1,28870,"florida",907135,3.18254725040926
"227",10,2011,2,15196,"florida",907135,1.6751641155947
"228",10,2011,3,9779,"florida",907135,1.07800933708875
"229",10,2011,4,11803,"florida",907135,1.30112937986077
"230",10,2011,5,13310,"florida",907135,1.46725680301168
"231",10,2011,6,13735,"florida",907135,1.51410760250679
"232",10,2011,7,15157,"florida",907135,1.67086486575868
"233",10,2011,8,12258,"florida",907135,1.35128729461436
"234",10,2011,9,14830,"florida",907135,1.63481730944126
"235",10,2011,10,16816,"florida",907135,1.85374833955255
"236",10,2011,11,20844,"florida",907135,2.29778368159094
"237",10,2011,12,19489,"florida",907135,2.14841230908299
"238",10,2011,13,29552,"florida",907135,3.257729003952
"239",10,2011,14,30509,"florida",907135,3.36322598069747
"240",10,2011,15,12130,"florida",907135,1.33717693617819
"241",10,2011,16,195342,"florida",907135,21.5339502940577
"242",10,2011,17,22060,"florida",907135,2.43183208673461
"243",10,2011,18,47439,"florida",907135,5.22954135823224
"244",10,2011,19,116882,"florida",907135,12.8847415213833
"245",10,2011,20,48385,"florida",907135,5.3338257260496
"246",10,2011,21,110670,"florida",907135,12.1999481885276
"247",10,2011,22,50326,"florida",907135,5.54779608327316
"248",10,2011,23,10583,"florida",907135,1.16664002601597
"249",10,2011,24,9754,"florida",907135,1.07525340770668
"250",10,2011,NA,31416,"florida",907135,3.46321109867881
